iter	Logloss
226	0.232918376
227	0.2325935846
228	0.2323802082
229	0.2323113811
230	0.2322983836
231	0.232083434
232	0.2320019256
233	0.2317574363
234	0.2316608631
235	0.2312504841
236	0.2307417156
237	0.2306587114
238	0.2304294359
239	0.2298795587
240	0.2297795869
241	0.2297789922
242	0.2297731908
243	0.2295579858
244	0.2289172914
245	0.2285586798
246	0.2281848635
247	0.2280978791
248	0.2278189302
249	0.2277697904
250	0.2273815045
251	0.2265888319
252	0.2263467278
253	0.2262980416
254	0.2262008313
255	0.2257947068
256	0.2251786249
257	0.2247353656
258	0.2245602459
259	0.2243424258
260	0.2238974817
261	0.2237644562
262	0.2236924218
263	0.2234708601
264	0.2232503695
265	0.2232503648
266	0.2228843181
267	0.2226007972
268	0.2221179805
269	0.2220787037
270	0.2219755784
271	0.2216981949
272	0.2212664344
273	0.2207669232
274	0.2207669223
275	0.2202546912
276	0.2194609739
277	0.2192298663
278	0.2185046442
279	0.2182076827
280	0.2181584795
281	0.2181584778
282	0.217715222
283	0.2172400795
284	0.2165211355
285	0.2164194751
286	0.2162834048
287	0.2160435113
288	0.2156431122
289	0.2154514482
290	0.2148084022
291	0.2146146763
292	0.21453131
293	0.2142105322
294	0.2140072893
295	0.2135056774
296	0.2132097874
297	0.2127421458
298	0.2125842838
299	0.2119164684
300	0.2117553116
301	0.2116515784
302	0.2114028218
303	0.2113606875
304	0.2110877586
305	0.2109450324
306	0.2104264508
307	0.2100003077
308	0.2099576932
309	0.209686535
310	0.2092592102
311	0.209124857
312	0.2085762521
313	0.2081644311
314	0.2079001585
315	0.207839072
316	0.2074609291
317	0.2073659347
318	0.2067856178
319	0.2064897522
320	0.2062295723
321	0.2058473966
322	0.2058302925
323	0.2056194888
324	0.2050478949
325	0.2043246324
326	0.2040790015
327	0.2036763608
328	0.2035534352
329	0.2034393405
330	0.2032624403
331	0.2024618771
332	0.2022338114
333	0.2021532208
334	0.2018565136
335	0.2017308636
336	0.2015264487
337	0.2012394865
338	0.2006785513
339	0.2006785496
340	0.2003177359
341	0.2002287454
342	0.2000577901
343	0.1997877511
344	0.1996312112
345	0.1996253822
346	0.1991723645
347	0.1986834688
348	0.1986299308
349	0.1983737644
350	0.1980981089
351	0.1979264284
352	0.1978729707
353	0.1972470575
354	0.1971808671
355	0.1971567698
356	0.1970585012
357	0.1969921366
358	0.1965357455
359	0.1963288127
360	0.1959602011
361	0.195786363
362	0.1952159849
363	0.1948213791
364	0.1947763498
365	0.1944634089
366	0.1938348088
367	0.193823526
368	0.1936175616
369	0.1935955042
370	0.193088794
371	0.1929435486
372	0.1925821321
373	0.1924749733
374	0.192191487
375	0.192117959
376	0.1918332005
377	0.1917148235
378	0.1915826654
379	0.191047942
380	0.1907250947
381	0.1903194188
382	0.1895417536
383	0.1889460014
384	0.1889204005
385	0.1888405572
386	0.1884045657
387	0.188307134
388	0.1882974733
389	0.1880894674
390	0.1878666766
391	0.1876104765
392	0.187545789
393	0.1874925361
394	0.1869143775
395	0.186537449
396	0.1859901063
397	0.1855895821
398	0.1854206716
399	0.185310629
400	0.1852639608
401	0.1849618765
402	0.1842405962
403	0.1842103233
404	0.1841897171
405	0.1839402437
406	0.1836741425
407	0.1833023869
408	0.182682182
409	0.1825212699
410	0.1817636116
411	0.1817038718
412	0.1810311299
413	0.1809082612
414	0.1802162728
415	0.1801853946
416	0.180174383
417	0.1795028595
418	0.1793050129
419	0.1792416658
420	0.1789574216
421	0.1781811837
422	0.1778024754
423	0.1777790918
424	0.1777356636
425	0.177526428
426	0.1774268723
427	0.1773246656
428	0.1772564706
429	0.1770932742
430	0.1766490488
431	0.1760086932
432	0.1759989923
433	0.175890022
434	0.1754226354
435	0.1753146172
436	0.1751738255
437	0.174870321
438	0.1743739677
439	0.1741818801
440	0.1741114982
441	0.173692464
442	0.172982261
443	0.1728554027
444	0.1724914737
445	0.1722856815
446	0.1720551122
447	0.1719538908
448	0.1717231428
449	0.1714076124
450	0.1710840278
451	0.1708352355
452	0.1701740683
453	0.1700919613
454	0.1699805754
455	0.1695728588
456	0.1695123895
457	0.1694530741
458	0.1690063106
459	0.1687767594
460	0.1683089003
461	0.1681509994
462	0.1676098855
463	0.1672107156
464	0.1667063317
465	0.1662935874
466	0.1659343958
467	0.1654295245
468	0.1653391543
469	0.1646275937
470	0.1645459599
471	0.1639147718
472	0.1639090137
473	0.1638695118
474	0.1632841642
475	0.1632300523
476	0.162988505
477	0.16277504
478	0.1625663845
479	0.1623484396
480	0.1620398785
481	0.1619617117
482	0.1618079128
483	0.1616589302
484	0.1615446764
485	0.1613044006
486	0.1609909808
487	0.1609817894
488	0.1608915357
489	0.1608303802
490	0.1604943531
491	0.160413718
492	0.1603709828
493	0.1603308196
494	0.1603233168
495	0.1602635119
496	0.1601143246
497	0.1599313103
498	0.1599228191
499	0.1594260006
500	0.1593679862
501	0.1591042155
502	0.1587106307
503	0.1583658907
504	0.1580976511
505	0.1580209572
506	0.1579346699
507	0.1578475554
508	0.1575561482
509	0.1571411968
510	0.157057024
511	0.1569707964
512	0.1569661567
513	0.1569480918
514	0.1567028444
515	0.1566287113
